target,descriptor,model,cv_rmse,cv_cliff_rmse,test_rmse,test_cliff_rmse,cv_stratified
CHEMBL261,MACCS,KNN,0.7266983586526662,0.8397608824755372,0.7208665279520943,0.8291289378045615,True
CHEMBL261,PHYSCHEM,RF,0.8456728742295466,0.8894783319419909,0.8093424545503068,0.8240939215876699,True
CHEMBL261,PHYSCHEM,SVM,0.9172953597965628,0.9442448385728676,0.8913016899629218,0.9026154012706412,True
CHEMBL261,PHYSCHEM,GBM,0.8450839863498866,0.888663990983145,0.8251293010713663,0.838168058668649,True
CHEMBL261,PHYSCHEM,KNN,0.8548409461063748,0.8928732373487583,0.831531746755774,0.8549642542962298,True
CHEMBL261,WHIM,RF,0.9159917303227344,0.9368203506753604,0.923070623451817,0.9095856178997618,True
CHEMBL261,WHIM,SVM,0.9589681043408462,0.977647769060932,0.9669028374355544,0.9334353391694608,True
CHEMBL261,WHIM,GBM,0.9359429573196288,0.9646257690647726,0.9374091012039204,0.9044718674394912,True
CHEMBL261,WHIM,KNN,0.9573856324167818,0.974196963026073,0.9507652149890756,0.9488701881166908,True
CHEMBL262,ECFP,RF,0.6874279908339483,0.7331033525472558,0.6221962666671667,0.6669177042194296,True
CHEMBL262,ECFP,SVM,0.6835106295085085,0.7041232992227041,0.6423565337430313,0.7259018006546717,True
CHEMBL262,ECFP,GBM,0.7139015182110959,0.7417934107924171,0.6289305525893449,0.6893078043969241,True
CHEMBL262,ECFP,KNN,0.7248814789555719,0.795438905745435,0.7162664391592938,0.8134820463446987,True
CHEMBL262,MACCS,RF,0.7787152921730305,0.8686596699365566,0.7462227655301642,0.8276079963369006,True
CHEMBL262,MACCS,SVM,0.7643336220913219,0.8525781361539829,0.7799235853188977,0.8656998793757104,True
CHEMBL262,MACCS,GBM,0.804051411487759,0.8714899139903657,0.7773752660784656,0.8857630384362883,True
CHEMBL262,MACCS,KNN,0.8465934048295455,0.9173705758476676,0.8378271553320249,0.8925831057307482,True
CHEMBL262,PHYSCHEM,RF,0.8126539496136126,0.8557355465881378,0.7636030977717722,0.8543565679266097,True
CHEMBL262,PHYSCHEM,SVM,1.0259740300434252,0.9368285419441056,0.9956132554871674,0.8668932322474077,True
